time	PosX	PosY	PosZ	LeftX	LeftY	LeftZ	RightX	RightY	RightZ	AccLinearX	AccLinearY	AccLinearZ	VelLinearX	VelLinearY	VelLinearZ
88.782931	99.067598	-205.117706	158.328735	114.776402	-198.835183	102.875175	86.28102	-190.5663	103.716751	0.0	0.0	0.0	6.933461000000008	4.784420000000011	1.3240049999999997
88.908846	104.3816	-199.423613	158.328049	115.089366	-192.544279	101.118469	89.758791	-186.531912	101.554398	0.0	0.0	0.0	5.314002000000002	5.694093000000009	-0.0006860000000017408
89.034147	107.914821	-192.494079	158.048279	118.733666	-184.243633	100.758072	90.914648	-178.332335	100.176193	0.0	0.0	0.0	3.5332209999999975	6.92953399999999	-0.279769999999985
89.160066	109.684594	-184.466215	157.706863	122.682449	-172.837685	98.697266	92.522221	-167.967691	97.537491	0.0	0.0	0.0	1.7697730000000007	8.027863999999994	-0.3414160000000095
89.286013	110.870992	-174.336651	159.221893	127.586017	-161.552796	97.829865	96.872876	-158.312608	94.118126	0.0	0.0	0.0	1.186397999999997	10.129564000000016	1.5150299999999959
89.411714	113.566535	-163.953492	161.022171	132.5121	-152.949634	97.978119	102.711726	-153.135498	89.915756	0.0	0.0	0.0	2.6955430000000007	10.383158999999978	1.8002779999999916
89.523378	117.319649	-154.461551	160.453934	136.595499	-144.94228	95.911827	105.767904	-143.437821	89.189156	0.0	0.0	0.0	3.7531139999999965	9.491941000000025	-0.5682369999999821
89.648793	121.215072	-144.307692	157.239456	141.097281	-131.531271	95.149124	105.949344	-129.412408	89.791046	0.0	0.0	0.0	3.895423000000008	10.153858999999983	-3.214478000000014
89.773987	125.945843	-134.477472	158.814728	144.896071	-115.860139	99.13855	105.745268	-119.587694	92.408791	0.0	0.0	0.0	4.73077099999999	9.830219999999997	1.5752720000000124
89.899389	129.25174	-123.560963	160.364777	148.360101	-100.499799	105.675735	107.029402	-112.310629	92.184868	0.0	0.0	0.0	3.305897000000016	10.916509000000005	1.5500490000000013
90.024584	131.506309	-112.322976	158.992279	152.518312	-85.48134	109.878624	108.939162	-101.940868	90.498833	0.0	0.0	0.0	2.254568999999975	11.237987000000004	-1.3724980000000073
90.149463	131.803755	-101.200495	156.770279	156.660153	-72.063332	111.597946	110.014525	-88.81703	87.563202	0.0	0.0	0.0	0.29744600000000787	11.122480999999993	-2.2220000000000084
90.274926	131.422287	-89.619798	157.39917	160.229571	-61.826657	113.133118	111.139859	-76.011584	87.070335	0.0	0.0	0.0	-0.38146799999998393	11.580697	0.6288910000000101
90.399993	133.165977	-79.079016	158.204788	165.114117	-53.443329	117.697815	113.585534	-65.287762	89.382561	0.0	0.0	0.0	1.7436899999999866	10.540782000000007	0.8056180000000097
90.525402	134.80655	-70.024716	158.23819	171.956516	-43.533978	123.26223	115.812684	-57.622001	91.661057	0.0	0.0	0.0	1.6405729999999892	9.054299999999998	0.03340199999999527
90.650751	136.386268	-62.691132	157.507889	179.671678	-33.377211	125.167786	116.113895	-53.845442	91.103722	0.0	0.0	0.0	1.579718000000014	7.333583999999995	-0.7303009999999972
90.775692	141.267845	-56.782552	157.808792	183.244526	-23.781698	124.735451	114.843794	-52.719364	89.976593	0.0	0.0	0.0	4.881576999999993	5.908580000000001	0.30090300000000525
90.901227	145.118248	-50.247283	158.304565	187.678115	-17.545084	126.213005	115.144774	-51.965726	89.458015	0.0	0.0	0.0	3.850403	6.5352689999999996	0.4957729999999856
91.026534	146.210687	-45.727968	158.620316	189.269438	-14.70137	125.897285	116.694089	-49.155307	89.863434	0.0	0.0	0.0	1.092439000000013	4.519315000000006	0.3157510000000059
91.151702	143.281423	-42.907754	158.3237	180.206208	-13.749332	121.260788	117.979342	-46.491519	90.075592	0.0	0.0	0.0	-2.9292640000000176	2.820214	-0.2966160000000002
