Hello, World, Test
14.685179,0.00,0.00
83.462999,17.312897,171.712067
104.792473,0.76439,94.161789
61.117194,13.495991,103.915222
14.713244,0.00,0.00
82.680176,17.52509,171.869232
104.029556,1.623711,94.061348
60.287927,13.009206,103.872253
14.754847,0.00,0.00
81.992338,17.676945,172.02507
103.471397,2.352383,94.069397
59.655998,12.720105,103.855667
14.782955,0.00,0.00
81.233094,17.808644,172.187927
102.854629,3.222993,94.109093
58.997868,12.4595,103.841492
14.811145,0.00,0.00
80.417655,17.932149,172.342255
102.183506,4.187093,94.153557
58.271525,12.223653,103.831726
14.838671,0.00,0.00
79.09026,18.055077,172.539368
101.049778,5.776173,94.201118
57.113741,11.937028,103.812454
14.880836,0.00,0.00
78.095911,18.141606,172.677902
100.216721,6.893643,94.240387
56.299613,11.771634,103.761688
14.90841,0.00,0.00
77.042721,18.214616,172.816727
99.351212,8.037438,94.31308
55.439446,11.610585,103.706825
14.936322,0.00,0.00
75.915907,18.251153,172.959793
98.403976,9.234933,94.467659
54.538343,11.476182,103.661667
14.964189,0.00,0.00
74.108503,18.332848,173.241241
96.928738,11.01368,94.882851
53.102396,11.296574,103.690048
15.005785,0.00,0.00
72.886012,18.37016,173.457947
95.864891,12.246808,95.220566
52.129314,11.252282,103.706512
15.034238,0.00,0.00
71.618937,18.405644,173.636993
94.71738,13.501008,95.553001
51.184342,11.229783,103.694244
15.061745,0.00,0.00
70.357416,18.406583,173.767319
93.492435,14.751221,95.854645
50.263498,11.196667,103.658173
15.089451,0.00,0.00
68.475292,18.423829,173.957642
91.513536,16.595052,96.274399
48.915384,11.094304,103.545593
15.131453,0.00,0.00
67.236183,18.411473,174.076279
90.149616,17.758084,96.545372
48.022484,10.97038,103.427513
15.159297,0.00,0.00
66.016505,18.376092,174.185745
88.755463,18.869412,96.839363
47.133991,10.845853,103.293953
15.187229,0.00,0.00
64.814518,18.323819,174.324493
87.31694,19.946278,97.145027
46.252487,10.731316,103.133789
15.215047,0.00,0.00
63.098166,18.193146,174.553192
85.070084,21.459092,97.593971
44.944857,10.600445,102.842102
15.256718,0.00,0.00
61.9961,18.071606,174.702148
83.520721,22.365735,97.873848
44.10474,10.547879,102.661095
15.284728,0.00,0.00
60.942076,17.936681,174.87645
81.943295,23.163125,98.128639
43.290136,10.515309,102.51226
15.313131,0.00,0.00
59.922288,17.79506,175.063187
80.354379,23.819745,98.343376
42.501114,10.484277,102.395828
15.339878,0.00,0.00
58.467911,17.556031,175.353745
78.015397,24.546727,98.603539
41.32645,10.469285,102.247612
15.382153,0.00,0.00
57.539127,17.382703,175.547638
76.512502,24.829892,98.708969
40.555119,10.491181,102.143448
15.409814,0.00,0.00
56.640957,17.203179,175.733704
75.060676,24.976971,98.757271
39.803884,10.52438,102.027649
15.437657,0.00,0.00
55.769299,17.016206,175.901672
73.667953,25.015828,98.783157
39.074848,10.547791,101.936722
15.465602,0.00,0.00
54.511259,16.741879,176.133133
71.704982,24.898675,98.746262
37.976955,10.543496,101.848839
15.507623,0.00,0.00
53.699253,16.576531,176.255768
70.452021,24.774029,98.723518
37.268135,10.520818,101.822716
15.535288,0.00,0.00
52.925632,16.431924,176.3647
69.253848,24.749783,98.754745
36.567089,10.489506,101.815208
15.563365,0.00,0.00
52.187655,16.334912,176.454559
68.227647,24.780938,98.806557
35.856483,10.427556,101.811867
15.591394,0.00,0.00
51.494573,16.280427,176.511368
67.383621,24.846486,98.869415
35.127495,10.335641,101.810577
15.619254,0.00,0.00
50.489638,16.230687,176.587677
66.516636,25.061234,98.914589
34.099863,10.114827,101.793388
15.661235,0.00,0.00
49.895618,16.20538,176.582123
66.190861,25.298993,98.870354
33.426353,9.895097,101.77301
15.688974,0.00,0.00
49.323391,16.175107,176.56781
66.016005,25.66578,98.847168
32.782696,9.633641,101.696304
15.717238,0.00,0.00
48.806595,16.172135,176.535141
65.886281,25.983441,98.790192
32.167553,9.363759,101.563568
15.744751,0.00,0.00
48.079203,16.183942,176.475189
65.742944,26.231915,98.662323
31.348869,8.946378,101.32373
15.786706,0.00,0.00
47.679733,16.241631,176.426102
65.663622,26.282765,98.605507
30.846977,8.667489,101.111977
15.814809,0.00,0.00
47.336481,16.345837,176.382614
65.55023,26.23148,98.664795
30.414268,8.413335,100.883774
15.842513,0.00,0.00
47.108744,16.535763,176.304703
65.351365,26.117543,98.791985
30.035301,8.195119,100.637726
15.870383,0.00,0.00
46.874283,16.867551,176.211349
65.000151,25.815251,99.015503
29.620312,7.966538,100.290283
15.912311,0.00,0.00
46.733688,17.076928,176.162567
64.782522,25.55959,99.15863
