12.673001,X=-68.191 Y=-8.914 Z=177.239,X=-58.382 Y=3.379 Z=121.133,X=-79.507 Y=-10.822 Z=118.383,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.785148,X=-69.005 Y=-9.493 Z=177.305,X=-58.879 Y=3.173 Z=120.909,X=-79.402 Y=-11.835 Z=118.395,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.869018,X=-70.135 Y=-9.961 Z=177.154,X=-60.278 Y=3.460 Z=120.662,X=-79.216 Y=-12.981 Z=118.317,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.980358,X=-71.692 Y=-10.831 Z=176.638,X=-62.979 Y=4.418 Z=120.234,X=-79.256 Y=-14.769 Z=117.883,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.091333,X=-72.809 Y=-12.671 Z=176.238,X=-66.390 Y=5.043 Z=119.535,X=-78.933 Y=-16.908 Z=118.666,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.179342,X=-72.641 Y=-14.285 Z=176.112,X=-68.941 Y=5.046 Z=119.543,X=-77.884 Y=-18.248 Z=118.460,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.285863,X=-71.698 Y=-15.895 Z=176.315,X=-71.455 Y=4.477 Z=121.223,X=-75.965 Y=-19.241 Z=119.527,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.37172,X=-71.019 Y=-16.871 Z=175.976,X=-72.655 Y=3.692 Z=120.895,X=-74.266 Y=-20.672 Z=119.477,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.48097,X=-70.023 Y=-18.871 Z=175.453,X=-73.684 Y=1.726 Z=120.182,X=-72.397 Y=-23.482 Z=119.084,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.576773,X=-69.696 Y=-20.782 Z=175.551,X=-74.218 Y=-0.700 Z=120.616,X=-72.313 Y=-25.637 Z=119.055,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.6758,X=-69.550 Y=-23.810 Z=175.422,X=-74.961 Y=-4.345 Z=120.871,X=-72.922 Y=-28.178 Z=119.180,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.785742,X=-69.512 Y=-27.254 Z=175.107,X=-75.299 Y=-7.853 Z=121.251,X=-72.709 Y=-30.154 Z=119.100,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.87378,X=-69.525 Y=-29.928 Z=174.822,X=-74.986 Y=-10.415 Z=121.407,X=-72.162 Y=-32.242 Z=118.788,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
13.976189,X=-69.475 Y=-33.409 Z=174.407,X=-73.974 Y=-13.408 Z=121.001,X=-72.304 Y=-34.303 Z=118.622,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
14.08953,X=-69.426 Y=-36.857 Z=173.983,X=-72.584 Y=-16.132 Z=120.494,X=-72.440 Y=-35.668 Z=118.547,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
14.176065,X=-69.450 Y=-39.135 Z=173.573,X=-71.863 Y=-17.807 Z=120.195,X=-72.476 Y=-36.316 Z=118.460,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
